a,b,n0,n1
3.2837201185771305,0.06656663773139034,0,39
649.3780179592835,-0.15871077548747292,39,62
383.56104239517623,-0.15156057661166902,62,101
250.79438507544933,-0.14924773206606828,101,147
426.9726467098097,-0.1532166171265772,147,186
93.90930035370073,-0.11931442945006616,186,223
434.1028108956353,-0.15134763812974542,223,301
392.93449579391944,-0.15354261821329987,301,340
114.82074629729271,-0.13367780377009048,340,379
444.38131179007746,-0.15572427118152274,379,425
551.6566460196458,-0.15267017665687677,425,464
554.3549188386612,-0.15773839276607612,464,500
60.32424908497952,-0.3110664250474309,0,3
209.31244302395928,-0.2579215206550552,3,42
148.27239243625323,-0.26417574345157824,42,88
347.763104943294,-0.2894546011663408,88,127
343.2943658954482,-0.3170288478635005,127,132
335.32642636240774,-0.28917974323984114,132,170
159.29938587237777,-0.23089339681489546,170,209
151.61312630631755,-0.2652807426569207,209,248
178.36834949767515,-0.3073649796834868,248,255
271.70609244728695,-0.3063963085236779,255,294
325.0372772030052,-0.3045450458109781,294,333
437.0306284558799,-0.3018029197509439,333,371
425.4003885015173,-0.30586237420141693,371,503
26.846838215794293,-0.07548453421685324,503,575
260.4837172292734,-0.30671830518642956,575,613
264.67895726278203,-0.2988943811643408,613,691
297.54430542467475,-0.30366871767539816,691,730
305.1806639265919,-0.3116161252394079,730,750
356.90534787012604,-0.28156226013805674,750,788
1.426765531196942e-13,0.9999393617182029,788,948
283.11629869073346,-0.2903455788398167,948,987
88.3002089701732,-0.28124329718801067,987,1000
42.182773824852255,-0.11342809702353111,0,26
304.5671534907963,-60.87394004344895,26,33
350.4088652443299,-0.13940869450305884,33,79
147.938407130291,-0.1536830105768956,79,118
421.6243261595629,-0.14783188735487837,118,157
110.72141492804093,-0.11718889472030228,157,196
297.9566347253188,-59.54394246877602,196,203
506.6526076581186,-0.14600475072492977,203,281
332.18308547848255,-66.50384116216618,281,288
425.5629729696462,-0.15270633133695505,288,327
235.48035371954677,-0.15347149500967922,327,359
423.3012429262343,-0.15648254960336036,359,373
554.8582281416353,-0.15525710212182497,373,408
159.70269618933247,-0.13989107644048518,408,447
95.46292420282838,-0.1456716017883845,447,493
136.4657809438473,-0.14628499857372826,493,500
88.72758346554299,-0.07563250286568567,0,32
294.4046842630934,-0.08874874327978086,32,71
393.751957157218,-0.08084671356937796,71,117
167.39908066849833,-0.08276647545639029,117,156
157.59908252488293,-0.09375821737034372,156,163
409.9129075662012,-0.09117111689754032,163,202
159.26417650377016,-0.0835160767924275,202,241
410.50577746305925,-0.09554414479572565,241,248
526.997538430773,-0.09270231330538241,248,287
268.7065898847247,-0.09099760819319606,287,300
120.61028122477164,-0.15981908101989237,0,26
467.6369943662676,-0.1893030642022595,26,33
402.5314665521142,-0.18395157426733455,33,72
120.8621614100701,-0.1494112947278293,72,118
505.1884903419744,-0.18406735602145177,118,157
520.4014729594753,-0.18855486175872027,157,199
3.683954680350128e-14,0.9999982205898971,199,300
